"obs","year","month","day","date","latitude","longitude","zon.winds","mer.winds","humidity","air temp.","s.s.temp."
1777,87,1,1,870101,-0.01,-109.96,"-4.4","4.4",".","24.67","24.83"
1778,87,1,2,870102,0,-109.97,"-4.2","5",".","24.82","24.84"
1779,87,1,3,870103,-0.01,-109.96,"-4.1","6.2",".","24.85","25.08"
1780,87,1,4,870104,-0.01,-109.97,"-5.8","6.8",".","24.82","25.13"
1781,87,1,5,870105,0,-109.98,"-6","4",".","24.89","25.28"
1782,87,1,6,870106,0,-109.95,"-3.8","5.2",".","24.95","25.36"
1783,87,1,7,870107,-0.01,-109.94,"-3.5","6.3",".","24.98","25.25"
1784,87,1,8,870108,-0.01,-109.95,"-4.5","5.3",".","24.9","25.2"
1785,87,1,9,870109,-0.01,-109.95,"-3.6","4.7",".","24.96","25.35"
1786,87,1,10,870110,0,-109.95,"-1.8","5.4",".","25.08","25.52"
1787,87,1,11,870111,0,-109.96,"-2.8","6.2",".","24.93","25.57"
1788,87,1,12,870112,-0.01,-109.94,"-4.1","5",".","25.19","25.61"
1789,87,1,13,870113,-0.01,-109.94,"-4.2","4.9",".","25.24","25.78"
1790,87,1,14,870114,-0.01,-109.94,"-5","4.8",".","25.36","26.14"
1791,87,1,15,870115,-0.01,-109.95,"-7","4.5",".","25.7","26.32"
1792,87,1,16,870116,0,-109.95,"-6.4","4.9",".","25.72","26.33"
1793,87,1,17,870117,0,-109.95,"-5.1","5",".","25.69","26.21"
1794,87,1,18,870118,0,-109.95,"-3.7","6.7",".","25.62","26.06"
1795,87,1,19,870119,0,-109.96,"-4.3","5.3",".","25.29","25.89"
1796,87,1,20,870120,0,-109.95,"-4.5","4.9",".","25.26","25.78"
1797,87,1,21,870121,-0.01,-109.95,"-2.3","4.8",".","25.46","25.8"
1798,87,1,22,870122,0,-109.95,"-3.2","6.5",".","25.53","25.78"
1799,87,1,23,870123,0,-109.95,"-4.2","4.5",".","25.61","25.71"
1800,87,1,24,870124,0,-109.96,"-5.2","2.7",".","25.19","25.86"
1801,87,1,25,870125,0,-109.96,"-6","4.5",".","25.75","26.2"
1802,87,1,26,870126,0,-109.96,"-6.5","3.9",".","25.89","26.21"
1803,87,1,27,870127,0,-109.95,"-4.9","4.7",".","25.84","26.23"
1804,87,1,28,870128,0,-109.97,"-4.7","5.6",".","25.58","26.29"
