"obs","year","month","day","date","latitude","longitude","zon.winds","mer.winds","humidity","air temp.","s.s.temp."
1176,85,5,10,850510,0.1,-110.01,"-2.8","-1",".","24.07","24.39"
1177,85,5,11,850511,0.1,-110.01,"-3.8","0.6",".","23.86","24.35"
1178,85,5,12,850512,0.1,-110.01,"-3.6","1.7",".","23.76","23.89"
1179,85,5,13,850513,0.1,-110.01,"-3.4","1",".","24.02","24.27"
1180,85,5,14,850514,0.1,-110.01,"-4.5","2.8",".","24.35","24.41"
1181,85,5,15,850515,0.1,-110.01,"-4.2","2.5",".","24.6","24.8"
1182,85,5,16,850516,0.1,-110.01,"-4.2","1.2",".","24.65","24.99"
1183,85,5,17,850517,0.1,-110.01,"-5","1.1",".","24.4","24.82"
1184,85,5,18,850518,0.1,-110.01,"-2.8","3.7",".","24.09","24.41"
1185,85,5,19,850519,0.1,-110.01,"-3","3.3",".","23.96","24.02"
1186,85,5,20,850520,0.1,-110.01,"-3.7","0.2",".","23.81","23.72"
1187,85,5,21,850521,0.1,-110.01,"-4.8","-1.5",".","23.78","23.69"
1188,85,5,22,850522,0.1,-110.01,"-3.9","-0.7",".","23.56","23.56"
1189,85,5,23,850523,0.1,-110.01,"-2.5","1.7",".","23.88","23.77"
1190,85,5,24,850524,0.1,-110.01,"-3.5","1.4",".","23.79","23.73"
1191,85,5,25,850525,0.1,-110.01,"-4.4","0.1",".","23.69","23.75"
1192,85,5,26,850526,0.1,-110.01,"-4","-0.4",".","23.53","23.58"
1193,85,5,27,850527,0.1,-110.01,"-3.7","-0.6",".","23.15","23.3"
1194,85,5,28,850528,0.1,-110.01,"-3.3","0.8",".","23.41","23.36"
1195,85,5,29,850529,0.1,-110.01,"-2.8","0.8",".","23.43","23.34"
1196,85,5,30,850530,0.1,-110.01,"-1.6","2",".","23.73","23.68"
1197,85,5,31,850531,0.1,-110.01,"-1.3","0.7",".","24.1","24.43"
1198,85,6,1,850601,0.1,-110.01,"-3.4","3.8",".","24.33","24.07"
1199,85,6,2,850602,0.1,-110.01,"-2.8","3",".","24.18","24"
1200,85,6,3,850603,0.1,-110.01,"-3.2","2.6",".","24.09","23.95"
1201,85,6,4,850604,0.09,-110.01,"-2.5","1.6",".","23.93","24.07"
1202,85,6,5,850605,0.09,-110.01,"-3.7","1.4",".","23.96","24.26"
1203,85,6,6,850606,0.1,-110.01,"-2.9","3",".","24.26","24.32"
1204,85,6,7,850607,0.1,-110.01,"-3.5","4.3",".","24.28","24.26"
1205,85,6,8,850608,0.09,-110.01,"-4.1","2.6",".","24.02","24.2"
1206,85,6,9,850609,0.1,-110.01,"-4","2.7",".","24.02","24.45"
1207,85,6,10,850610,0.09,-110.01,"-4.6","2.4",".","24.08","24.44"
1208,85,6,11,850611,0.09,-110.01,"-6.7","1.7",".","24.19","24.37"
1209,85,6,12,850612,0.09,-110.01,"-7.1","1.9",".","24.12","24.3"
1210,85,6,13,850613,0.1,-110.01,"-6","1.9",".","23.71","23.91"
1211,85,6,14,850614,0.1,-110.01,"-5.4","2.6",".","23.65","24.04"
1212,85,6,15,850615,0.1,-110.01,"-4.8","3.2",".","23.42","23.38"
1213,85,6,16,850616,0.1,-110.01,"-4.4","2.4",".","23.04","23.04"
1214,85,6,17,850617,0.1,-110.01,"-4.2","2.7",".","22.99","22.81"
1215,85,6,18,850618,0.1,-110.01,"-4.8","1.7",".","22.95","22.83"
1216,85,6,19,850619,0.1,-110.01,"-5.4","2.1",".","23.07","22.98"
1217,85,6,20,850620,0.1,-110.01,"-4.3","3.2",".","23.11","23.2"
1218,85,6,21,850621,0.1,-110.01,"-3.4","3.3",".","23.29","23.35"
1219,85,6,22,850622,0.1,-110.01,"-4.5","4.5",".","23.05","23.37"
1220,85,6,23,850623,0.1,-110.01,"-3.5","3.3",".","22.74","23.01"
1221,85,6,24,850624,0.1,-110.01,"-1.7","3.1",".","22.38","22.47"
1222,85,6,25,850625,0.1,-110.01,"-1.9","2.4",".","22.15","21.88"
1223,85,6,26,850626,0.1,-110.01,"-2.8","1.9",".","21.92","21.88"
1224,85,6,27,850627,0.1,-110.01,"-3.6","3.1",".","22.44","22.74"
1225,85,6,28,850628,0.11,-110.02,"-4.1","2.9",".","22.67","22.6"
1226,85,6,29,850629,0.11,-110.02,"-5.2","2.2",".","22.59","22.43"
1227,85,6,30,850630,0.11,-110.02,"-4.7","2.8",".","22.58","22.46"
1228,85,7,1,850701,0.1,-110.03,"-4.8","2.7",".","22.57","22.57"
1229,85,7,2,850702,0.1,-110.02,"-5.9","2.7",".","22.85","23.09"
1230,85,7,3,850703,0.1,-110.01,"-4.9","3.4",".","22.32","22.65"
1231,85,7,4,850704,0.1,-110.02,"-5","3.7",".","22.41","22.62"
1232,85,7,5,850705,0.1,-110.01,"-5.2","3.3",".","22.47","23.06"
1233,85,7,6,850706,0.1,-110.02,"-3","1.8",".","22.55","23"
1234,85,7,7,850707,0.1,-110.01,"-2.3","1.7",".","22.45","22.91"
1235,85,7,8,850708,0.1,-110.01,"-1.5","2.5",".","22.44","23.05"
1236,85,7,9,850709,0.1,-110.01,"-3.2","3.1",".","23.03","24.61"
1237,85,7,10,850710,0.1,-110.01,"-5.7","3",".","23.03","24.46"
1238,85,7,11,850711,0.09,-110.02,"-6.1","1.3",".","22.86","23.85"
1239,85,7,12,850712,0.1,-110.01,"-6","2.7",".","22.5","22.89"
