"month","aveMonthTemp","year","yearAvg"
3,25.7934782608696,80,22.7743373493976
8,21.8780952380952,80,22.7743373493976
9,22.167,80,22.7743373493976
10,21.2783870967742,80,22.7743373493976
11,22.8273333333333,80,22.7743373493976
12,23.1738709677419,80,22.7743373493976
1,22.801935483871,81,22.4547155963303
2,23.8882142857143,81,22.4547155963303
3,25.3770967741936,81,22.4547155963303
4,25.665,81,22.4547155963303
5,25.0874193548387,81,22.4547155963303
6,23.941,81,22.4547155963303
7,21.821724137931,81,22.4547155963303
8,20.1983870967742,81,22.4547155963303
9,20.8146666666667,81,22.4547155963303
10,21.6095161290323,81,22.4547155963303
11,21.5338333333333,81,22.4547155963303
12,22.7556451612903,81,22.4547155963303
1,23.7290322580645,82,24.6403168316832
2,25.1639285714286,82,24.6403168316832
3,25.5702173913043,82,24.6403168316832
4,25.2036666666667,82,24.6403168316832
5,25.3406451612903,82,24.6403168316832
6,24.055,82,24.6403168316832
7,22.3564516129032,82,24.6403168316832
8,22.0912903225806,82,24.6403168316832
9,23.0406666666667,82,24.6403168316832
10,24.5344444444444,82,24.6403168316832
11,25.6268333333333,82,24.6403168316832
12,26.3464516129032,82,24.6403168316832
1,27.3064516129032,83,25.320099009901
2,27.7573214285714,83,25.320099009901
3,27.8143548387097,83,25.320099009901
4,28.1972,83,25.320099009901
10,23.4353846153846,83,25.320099009901
11,22.0576136363636,83,25.320099009901
12,21.9428767123288,83,25.320099009901
1,22.5562903225806,84,23.8102990033223
2,24.9710344827586,84,23.8102990033223
3,26.0772580645161,84,23.8102990033223
4,26.2203174603175,84,23.8102990033223
5,24.8232258064516,84,23.8102990033223
6,23.3904444444444,84,23.8102990033223
7,23.3104301075269,84,23.8102990033223
8,23.3190322580645,84,23.8102990033223
9,22.7524444444444,84,23.8102990033223
10,23.1477922077922,84,23.8102990033223
11,22.9675,84,23.8102990033223
12,23.0133870967742,84,23.8102990033223
1,23.1237096774194,85,24.9134577464789
2,23.8166071428571,85,24.9134577464789
3,24.4964150943396,85,24.9134577464789
4,25.5539344262295,85,24.9134577464789
5,25.4490178571429,85,24.9134577464789
6,25.2593495934959,85,24.9134577464789
7,24.9026923076923,85,24.9134577464789
8,25.1551136363636,85,24.9134577464789
9,24.7562111801242,85,24.9134577464789
10,25.8837272727273,85,24.9134577464789
11,24.7070303030303,85,24.9134577464789
12,24.7225945945946,85,24.9134577464789
1,25.0364880952381,86,26.2173970867638
2,25.7304166666667,86,26.2173970867638
3,26.4386538461538,86,26.2173970867638
4,26.9868341708543,86,26.2173970867638
5,26.9656326530612,86,26.2173970867638
6,26.3681578947368,86,26.2173970867638
7,26.009696969697,86,26.2173970867638
8,25.7180277777778,86,26.2173970867638
9,26.1557564575646,86,26.2173970867638
10,26.8468859649123,86,26.2173970867638
11,26.4153264604811,86,26.2173970867638
12,26.0389646464646,86,26.2173970867638
1,26.6483456790123,87,27.0987089496114
2,27.0825194805195,87,27.0987089496114
3,27.4566157760814,87,27.0987089496114
4,27.657610619469,87,27.0987089496114
5,27.5970796460177,87,27.0987089496114
6,27.5872373540856,87,27.0987089496114
7,27.0221621621622,87,27.0987089496114
8,27.0218382352941,87,27.0987089496114
9,27.3177443609023,87,27.0987089496114
10,27.1922591362126,87,27.0987089496114
11,26.6663814180929,87,27.0987089496114
12,26.3313965087282,87,27.0987089496114
1,26.0144903581267,88,25.2037811972227
2,26.6350379746835,88,25.2037811972227
3,26.760975,88,25.2037811972227
4,26.1227586206897,88,25.2037811972227
5,24.7234328358209,88,25.2037811972227
6,25.2794696969697,88,25.2037811972227
7,25.1191636363636,88,25.2037811972227
8,24.6677005347594,88,25.2037811972227
9,24.8189430894309,88,25.2037811972227
10,24.7637990196078,88,25.2037811972227
11,24.3938241308793,88,25.2037811972227
12,24.2592398648649,88,25.2037811972227
1,24.6642038216561,89,26.0629270618147
2,25.7542324561404,89,26.0629270618147
3,26.0433477321814,89,26.0629270618147
4,26.5714634146341,89,26.0629270618147
5,26.6729220779221,89,26.0629270618147
6,26.5800575815739,89,26.0629270618147
7,26.3578350515464,89,26.0629270618147
8,26.1547987117552,89,26.0629270618147
9,26.1807779578606,89,26.0629270618147
10,26.1055958549223,89,26.0629270618147
11,25.7151209677419,89,26.0629270618147
12,25.8926666666667,89,26.0629270618147
1,26.2670643642072,90,26.6648944256757
2,26.8791516245487,90,26.6648944256757
3,27.2097508305648,90,26.6648944256757
4,27.4163055062167,90,26.6648944256757
5,27.375008,90,26.6648944256757
6,27.0059477124183,90,26.6648944256757
7,26.5342424242424,90,26.6648944256757
8,26.3099118165785,90,26.6648944256757
9,26.2166101694915,90,26.6648944256757
10,26.4516083916084,90,26.6648944256757
11,26.2567695099819,90,26.6648944256757
12,26.0451655629139,90,26.6648944256757
1,26.2769523809524,91,27.043085988086
2,26.6743468468468,91,27.043085988086
3,27.0233192389006,91,27.043085988086
4,27.4523247232472,91,27.043085988086
5,27.6746621621622,91,27.043085988086
6,27.5626551724138,91,27.043085988086
7,27.1923103448276,91,27.043085988086
8,26.7734248554913,91,27.043085988086
9,26.6745103092784,91,27.043085988086
10,27.02309252218,91,27.043085988086
11,26.9751102941176,91,27.043085988086
12,27.1915553121577,91,27.043085988086
1,27.0562929061785,92,27.0971118542278
2,27.3735888077859,92,27.0971118542278
3,27.5316416666667,92,27.0971118542278
4,27.8566612244898,92,27.0971118542278
5,27.8196942580164,92,27.0971118542278
6,27.3713938411669,92,27.0971118542278
7,26.9159504132231,92,27.0971118542278
8,26.6757179054054,92,27.0971118542278
9,26.8102469135802,92,27.0971118542278
10,26.7384112149533,92,27.0971118542278
11,26.5951645207439,92,27.0971118542278
12,26.6434646243618,92,27.0971118542278
1,26.6979073243647,93,27.1120548840248
2,26.9936199484093,93,27.1120548840248
3,27.3718897637795,93,27.1120548840248
4,27.7297262889879,93,27.1120548840248
5,27.8055076574022,93,27.1120548840248
6,27.4865429808287,93,27.1120548840248
7,27.0449631449631,93,27.1120548840248
8,26.6011507692308,93,27.1120548840248
9,26.6844713375796,93,27.1120548840248
10,26.7780298321939,93,27.1120548840248
11,26.9920013386881,93,27.1120548840248
12,27.0227844123193,93,27.1120548840248
1,26.9749687108886,94,27.0586987804256
2,27.1390813253012,94,27.0586987804256
3,27.3498440979955,94,27.0586987804256
4,27.5440121120363,94,27.0586987804256
5,27.6573206018519,94,27.0586987804256
6,27.3895219123506,94,27.0586987804256
7,26.8092963386728,94,27.0586987804256
8,26.5679232505643,94,27.0586987804256
9,26.5220789779326,94,27.0586987804256
10,26.7520989761092,94,27.0586987804256
11,27.0452303206997,94,27.0586987804256
12,27.1529173599556,94,27.0586987804256
1,27.2066359196961,95,26.8144568722289
2,27.3273153942428,95,26.8144568722289
3,27.3916837315131,95,26.8144568722289
4,27.4224240583232,95,26.8144568722289
5,27.2216547619048,95,26.8144568722289
6,27.1144299876084,95,26.8144568722289
7,26.762922705314,95,26.8144568722289
8,26.4586319018405,95,26.8144568722289
9,26.2028750747161,95,26.8144568722289
10,26.1443946731235,95,26.8144568722289
11,26.1488096795291,95,26.8144568722289
12,26.2326641172721,95,26.8144568722289
1,26.4498886138614,96,26.6333069355632
2,26.7000751408892,96,26.6333069355632
3,27.1418266978923,96,26.6333069355632
4,27.1282751810402,96,26.6333069355632
5,27.0279948253558,96,26.6333069355632
6,26.762268907563,96,26.6333069355632
7,26.6890128276631,96,26.6333069355632
8,26.4946124865447,96,26.6333069355632
9,26.450424171993,96,26.6333069355632
10,26.3595092693566,96,26.6333069355632
11,26.2696609227349,96,26.6333069355632
12,26.292109375,96,26.6333069355632
1,26.5735542857143,97,27.5713489952719
2,26.9431403398364,97,27.5713489952719
3,27.3539864864865,97,27.5713489952719
4,27.66845,97,27.5713489952719
5,27.9380803011292,97,27.5713489952719
6,27.7689778645833,97,27.5713489952719
7,27.8190770171149,97,27.5713489952719
8,27.5745048104131,97,27.5713489952719
9,27.6606373378455,97,27.5713489952719
10,27.7248444444444,97,27.5713489952719
11,27.9047900650503,97,27.5713489952719
12,27.9494754464286,97,27.5713489952719
1,27.8476884139483,98,27.8059845769523
2,27.7340417209909,98,27.8059845769523
3,27.8682192575406,98,27.8059845769523
4,27.8957655502392,98,27.8059845769523
5,27.9314990969296,98,27.8059845769523
6,27.293245823389,98,27.8059845769523
