"obs","year","month","day","date","latitude","longitude","zon.winds","mer.winds","humidity","air temp.","s.s.temp."
3201,91,1,1,910101,0,-109.96,"-3.6","3.8",".","23.4","23.04"
3202,91,1,2,910102,0,-109.96,"-4.7","3.9",".","23.41","23.2"
3203,91,1,3,910103,0,-109.97,"-5.1","3.2",".","23.63","23.43"
3204,91,1,4,910104,0,-109.96,"-4","4.1",".","23.84","23.66"
3205,91,1,5,910105,0,-109.96,"-4.9","5.4",".","23.79","23.68"
3206,91,1,6,910106,0,-109.96,"-4.8","4.7",".","23.82","23.68"
3207,91,1,7,910107,0,-109.96,"-6.1","3.1",".","23.77","23.71"
3208,91,1,8,910108,0,-109.96,"-5","2.6",".","23.69","23.8"
3209,91,1,9,910109,0,-109.96,"-4.5","5.4",".","23.92","23.95"
3210,91,1,10,910110,-0.01,-109.96,"-5.1","2.2",".","23.88","24.02"
3211,91,1,11,910111,-0.01,-109.96,"-6","3.3",".","23.92","23.98"
3212,91,1,12,910112,-0.01,-109.96,"-4.9","3.5",".","23.86","23.96"
3213,91,1,13,910113,-0.01,-109.96,"-3.5","4.3",".","24.03","24.02"
3214,91,1,14,910114,-0.01,-109.96,"-2.7","5.2",".","24","24.02"
3215,91,1,15,910115,-0.01,-109.96,"-4.7","4.4",".","23.98","24.09"
3216,91,1,16,910116,-0.01,-109.96,"-4.9","3.5",".","23.84","24.2"
3217,91,1,17,910117,-0.01,-109.96,"-3.5","3.3",".","23.87","24.31"
3218,91,1,18,910118,-0.01,-109.96,"-1.9","4.3",".","24.17","24.67"
3219,91,1,19,910119,-0.01,-109.96,"-3.7","4.7",".","24.16","24.85"
3220,91,1,20,910120,-0.01,-109.96,"-3.9","4.1",".","24.35","24.93"
3221,91,1,21,910121,-0.01,-109.96,"-4.5","3.7",".","24.24","25.05"
3222,91,1,22,910122,-0.01,-109.96,"-4.8","4.9",".","24.47","25.27"
3223,91,1,23,910123,-0.01,-109.96,"-4.9","4.4",".","24.6","25.29"
3224,91,1,24,910124,-0.01,-109.96,"-5.1","3",".","24.47","25.15"
3225,91,1,25,910125,-0.01,-109.96,"-3.9","3.5",".","24.46","25.05"
3226,91,1,26,910126,-0.01,-109.96,"-4.5","5.5",".","24.55","24.98"
3227,91,1,27,910127,0,-109.96,"-4.1","5.8",".","24.61","24.81"
3228,91,1,28,910128,0,-109.96,"-2.6","4.7",".","24.42","24.76"
3229,91,1,29,910129,0,-109.97,"-2.7","4.2",".","24.51","24.69"
3230,91,1,30,910130,0,-109.97,"-2.3","3.8",".","24.66","24.67"
3231,91,1,31,910131,0,-109.97,"-3.8","3.9",".","24.76","24.74"
3232,91,2,1,910201,0,-109.96,"-2.6","2.4",".","24.83","25.05"
3233,91,2,2,910202,0,-109.97,"-1.6","2.7",".","25.04","25.53"
3234,91,2,3,910203,0,-109.97,"-3.9","4.2",".","25.07","25.2"
3235,91,2,4,910204,0,-109.97,"-2.8","4.8",".","25.01","25.11"
3236,91,2,5,910205,0,-109.97,"-3.5","5.5",".","24.95","25.11"
3237,91,2,6,910206,0,-109.97,"-3.8","4",".","24.89","25.14"
3238,91,2,7,910207,-0.01,-109.98,"-4","4.2",".","25.14","25.17"
3239,91,2,8,910208,-0.01,-109.98,"-4.8","3.5",".","24.98","25.16"
3240,91,2,9,910209,-0.01,-109.98,"-3.7","3.5",".","25.06","25.3"
3241,91,2,10,910210,-0.01,-109.98,"-3.9","1.5",".","25.26","25.61"
3242,91,2,11,910211,-0.01,-109.98,"-3.7","1.2",".","24.95","25.97"
3243,91,2,12,910212,-0.01,-109.98,"-6.6","2.4",".","25.59","25.68"
