"obs","year","month","day","date","latitude","longitude","zon.winds","mer.winds","humidity","air temp.","s.s.temp."
5673,98,1,1,980101,0.03,-109.99,"-7.8","-2.9","89.1","27.77","28.66"
5674,98,1,2,980102,0.03,-109.99,"-8.1","-1.2","90.3","27.57","28.59"
5675,98,1,3,980103,0.02,-109.99,"-6.3","-5.3","88","28.42","28.52"
5676,98,1,4,980104,0.02,-109.99,"-0.2","-4.3","88","28.23","28.61"
5677,98,1,5,980105,0.02,-109.99,"1","2.1","89.9","26.41","28.49"
5678,98,1,6,980106,0.02,-109.98,"0.7","2.6","81.9","27.69","28.65"
5679,98,1,7,980107,0.02,-109.99,"-0.4","1","82.3","28.11","29.07"
5680,98,1,8,980108,0.03,-109.99,"-2.7","-0.9","87.6","27.18","29.16"
5681,98,1,9,980109,0.03,-109.99,"-2.3","-0.9","88","27.53","28.8"
5682,98,1,10,980110,0.03,-109.99,"-3.1","0.2","89.9","27.22","28.79"
5683,98,1,11,980111,0.03,-109.99,"-2.8","2","88.4","26.99","28.78"
5684,98,1,12,980112,0.03,-109.99,"-4.1","-1.3","86.9","28.08","29.05"
5685,98,1,13,980113,0.03,-109.99,"-4.4","-3.2","91.4","26.95","28.8"
5686,98,1,14,980114,0.03,-109.99,"-2.6","-1.9","85.7","27.65","28.78"
5687,98,1,15,980115,0.02,-109.99,"-2.2","-0.4","89.9","27.03","28.75"
5688,98,1,16,980116,0.03,-109.99,"-0.6","4.2","91.8","26.87","28.68"
5689,98,1,17,980117,0.03,-109.98,"2","0.4","89.5","27.11","28.72"
5690,98,1,18,980118,0.03,-109.98,"0.6","-1","86.1","27.69","28.86"
5691,98,1,19,980119,0.03,-109.98,"-3.8","-0.3","86.9","27.88","28.92"
5692,98,1,20,980120,0.03,-109.99,"-3.5","0.2","87.2","27.73","28.84"
5693,98,1,21,980121,0.03,-109.99,"-3.1","-1.2","90.7","26.99","28.91"
5694,98,1,22,980122,0.03,-109.99,"-4.3","-1","88.8","27.57","29.06"
5695,98,1,23,980123,0.02,-109.99,"-1.4","-0.5","88","27.49","29.08"
5696,98,1,24,980124,0.03,-109.99,"-3","1","89.9","27.3","29.01"
5697,98,1,25,980125,0.02,-109.99,"-2.9","-1.2","87.6","27.8","29.08"
5698,98,1,26,980126,0.02,-109.99,"-3.1","-1.2","84.9","28.42","29.25"
5699,98,1,27,980127,0.02,-109.99,"-0.6","2.2","89.9","27.65","29.37"
5700,98,1,28,980128,0.03,-109.98,"-0.4","0.4","88","27.96","29.35"
5701,98,1,29,980129,0.03,-109.99,"-2.7","-1.1","90.3","27.73","29.44"
5702,98,1,30,980130,0.03,-109.99,"-3.4","-0.8","88.8","28.35","29.33"
5703,98,1,31,980131,0.03,-109.98,"-3.5","-1","87.6","28.31","29.57"
5704,98,2,1,980201,0.03,-109.98,"-1.8","0.6","91.1",".","29.66"
5705,98,2,2,980202,0.03,-109.98,"-1.4","0.5","87.2",".","29.36"
5706,98,2,3,980203,0.03,-109.98,"-0.2","2.9",".",".","29.6"
5707,98,2,4,980204,0.03,-109.98,"5.9","-0.9",".",".","29.28"
5708,98,2,5,980205,0.02,-109.97,"2.6","0.5",".",".","28.99"
5709,98,2,6,980206,0.02,-109.98,"2","-3",".",".","28.96"
5710,98,2,7,980207,0.03,-109.98,"0.9","2.4",".",".","28.93"
5711,98,2,8,980208,0.03,-109.98,"2.4","2.9",".",".","29.13"
5712,98,2,9,980209,0.03,-109.97,"0.4","-0.4",".",".","29.32"
5713,98,2,10,980210,0.03,-109.97,"0.1","-2.7",".",".","29.26"
5714,98,2,11,980211,0.03,-109.98,"-1.7","1.2",".",".","29.07"
5715,98,2,12,980212,0.03,-109.97,"-0.8","-0.8",".",".","28.52"
5716,98,2,13,980213,0.03,-109.97,"1.2","-0.5",".",".","29.05"
5717,98,2,14,980214,0.03,-109.97,"-2.4","-2.1",".",".","29.41"
5718,98,2,15,980215,0.03,-109.98,"-3.3","-1.4",".",".","29.4"
5719,98,2,16,980216,0.03,-109.98,"-3.3","-2.6",".",".","29.51"
5720,98,2,17,980217,0.02,-109.98,"-4.8","-0.4",".",".","29.56"
5721,98,2,18,980218,0.02,-109.98,"-1.1","-1.5",".",".","29.58"
5722,98,2,19,980219,0.02,-109.97,"3.4","-0.5",".",".","29.32"
5723,98,2,20,980220,0.02,-109.98,"3.1","-3.8",".",".","29.18"
5724,98,2,21,980221,0.02,-109.98,"1.1","-2.3",".",".","28.86"
5725,98,2,22,980222,0.02,-109.98,"0.7","1.2",".",".","29.16"
5726,98,2,23,980223,0.02,-109.98,"3.1","-1",".",".","29.25"
5727,98,2,24,980224,0.02,-109.98,"-1.7","-3.8",".",".","29.16"
5728,98,2,25,980225,0.02,-109.98,"-0.9","-3.4",".",".","29.44"
5729,98,2,26,980226,0.03,-109.99,"0.1","-1.1",".",".","29.65"
5730,98,2,27,980227,0.03,-109.98,"0.7","0.2",".",".","29.71"
5731,98,2,28,980228,0.03,-109.98,"-2.3","-0.1",".",".","29.93"
5732,98,3,1,980301,0.03,-109.98,".",".",".",".","."
5733,98,3,2,980302,0.08,-110.01,".",".",".",".","."
5734,98,3,3,980303,0.03,-109.98,"-3.5","3","79.5","29.2","29.94"
5735,98,3,4,980304,0.02,-109.96,"-2.8","3.4","86.6","28.47","29.66"
5736,98,3,5,980305,0.02,-109.96,"-1.5","2.6","87.8","27.95","29.54"
5737,98,3,6,980306,0.01,-109.96,"1.2","-1.2","90","27.67","29.67"
5738,98,3,7,980307,0.01,-109.95,"4.7","-5","86.3","28.14","29.61"
5739,98,3,8,980308,0.02,-109.96,"2.9","-2","86.6","27.83","29.55"
5740,98,3,9,980309,0.01,-109.96,"-0.4","-2.4","84.8","28.28","29.76"
5741,98,3,10,980310,0.02,-109.96,"1.4","1","87.8","27.74","29.63"
5742,98,3,11,980311,0.02,-109.96,"0.3","-1.3","88.1","27.27","29.62"
5743,98,3,12,980312,0.03,-109.96,"-0.1","2.3","83.6","28.39","29.61"
5744,98,3,13,980313,0.03,-109.96,"-1","0.7","84","28.41","29.94"
5745,98,3,14,980314,0.03,-109.96,"1.9","-0.8","85.5","28.18","30.01"
5746,98,3,15,980315,0.03,-109.96,"4.3","-1.5","85.1","28.03","29.72"
5747,98,3,16,980316,0.02,-109.96,"0.9","-0.9","86.3","27.94","29.37"
5748,98,3,17,980317,0.03,-109.96,"-0.5","1.3","84.8","27.9","29.45"
5749,98,3,18,980318,0.03,-109.96,"3.2","1","82.5","28.17","29.52"
5750,98,3,19,980319,0.02,-109.96,"-0.7","4.7","83.6","28.82","29.42"
5751,98,3,20,980320,0.03,-109.96,"-0.9","3.5","81","28.99","29.5"
5752,98,3,21,980321,0.02,-109.96,"1.8","1.7","86.3","27.99","29.31"
5753,98,3,22,980322,0.02,-109.96,"1.4","1","84.8","28.81","29.34"
5754,98,3,23,980323,0.02,-109.95,"3","-1.3","83.6","29.08","29.56"
5755,98,3,24,980324,0.02,-109.96,"2","1","83.3","29.26","29.8"
5756,98,3,25,980325,0.02,-109.96,"-0.4","-0.6","87","28.1","29.67"
5757,98,3,26,980326,0.02,-109.96,"-3.1","-2.1","83.3","28.59","29.59"
5758,98,3,27,980327,0.01,-109.96,"2","-1.2","88.9","26.94","29.28"
5759,98,3,28,980328,0.02,-109.96,"-0.6","-2.2","81","28.58","29.55"
5760,98,3,29,980329,0.02,-109.96,"-2.7","-0.7","80.7","29.04","29.83"
5761,98,3,30,980330,0.02,-109.96,"-0.1","-3","81","28.86","29.78"
5762,98,3,31,980331,0.02,-109.96,"-0.1","1.3","80.7","28.86","30.09"
5763,98,4,1,980401,0.02,-109.96,"-0.9","3.9","83.3","28.93","29.88"
