"obs","year","month","day","date","latitude","longitude","zon.winds","mer.winds","humidity","air temp.","s.s.temp."
4642,95,1,1,950101,0.02,-110.03,"-5.2","3.4","82.7","23.96","24.78"
4643,95,1,2,950102,0.02,-110.03,"-4.2","3.7","85.4","24.06","24.83"
4644,95,1,3,950103,0.02,-110.03,"-4.1","2.7","88.7","23.81","24.89"
4645,95,1,4,950104,0.01,-110.03,"-5","3.2","88.1","24.1","24.91"
4646,95,1,5,950105,0.01,-110.03,"-5.1","3.5","84.1","24.54","25.52"
4647,95,1,6,950106,0.01,-110.03,"-4.2","3.5","85.5","24.39","25.41"
4648,95,1,7,950107,0.01,-110.03,"-4.2","3.8","84.4","24.46","25.33"
4649,95,1,8,950108,0.01,-110.03,"-4","3.2","85.2","24.22","25.08"
4650,95,1,9,950109,0.01,-110.02,"-4.1","3","88.4","24.04","24.95"
4651,95,1,10,950110,0.01,-110.03,"-5.3","2.2","86.6","24.07","25.11"
4652,95,1,11,950111,0.02,-110.03,"-5.7","3.5","86.3","24.21","25.08"
4653,95,1,12,950112,0.02,-110.03,"-5.4","4.5","85.5","23.91","24.77"
4654,95,1,13,950113,0.02,-110.02,"-3","3","87.9","23.57","24.17"
4655,95,1,14,950114,0.02,-110.02,"-2.7","4.1","89.1","23.65","24.36"
4656,95,1,15,950115,0.02,-110.03,"-3.8","4.3","87.5","24.03","24.71"
4657,95,1,16,950116,0.02,-110.02,"-4.9","2.1","87.4","24.1","24.67"
4658,95,1,17,950117,0.02,-110.02,"-4.5","2.6","89.5","23.92","24.73"
4659,95,1,18,950118,0.01,-110.03,"-5.2","2.7","86.6","24.08","25.35"
4660,95,1,19,950119,0.01,-110.03,"-5.9","2.4","83.6","24.6","25.7"
4661,95,1,20,950120,0.01,-110.03,"-3.5","2.6","79.7","24.67","26.25"
4662,95,1,21,950121,0,-110.03,"-3.9","4","81.5","24.72","26.2"
4663,95,1,22,950122,0.01,-110.03,"-4.7","4","81.1","24.57","26.2"
4664,95,1,23,950123,0.01,-110.03,"-4.5","3.9","83.5","24.47","25.91"
4665,95,1,24,950124,0.01,-110.03,"-4.9","2.9","85.3","24.36","25.76"
4666,95,1,25,950125,0.02,-110.03,"-4.4","3.2","89.2","24.27","25.41"
4667,95,1,26,950126,0.02,-110.02,"-2.2","3.5","92.3","24.25","24.97"
4668,95,1,27,950127,0.02,-110.02,"-3","4.6","93.3","23.87","24.66"
