"obs","year","month","day","date","latitude","longitude","zon.winds","mer.winds","humidity","air temp.","s.s.temp."
2836,90,1,1,900101,0,-110.02,".",".",".","23.55","24.37"
2837,90,1,2,900102,0,-110.02,".",".",".","23.39","24.06"
2838,90,1,3,900103,0.01,-110.02,".",".",".","23.42","23.85"
2839,90,1,4,900104,0.01,-110.02,".",".",".","23.33","23.78"
2840,90,1,5,900105,0.01,-110.02,".",".",".","23.33","23.6"
2841,90,1,6,900106,0,-110.02,".",".",".","23.21","23.37"
2842,90,1,7,900107,0.01,-110.02,".",".",".","22.96","23.1"
2843,90,1,8,900108,0.01,-110.02,".",".",".","22.96","22.99"
2844,90,1,9,900109,0,-110.02,".",".",".","23.1","23.18"
2845,90,1,10,900110,0,-110.02,".",".",".","23.21","23.4"
2846,90,1,11,900111,0,-110.02,".",".",".","23.32","23.57"
2847,90,1,12,900112,0.01,-110.02,".",".",".","23.57","23.71"
2848,90,1,13,900113,0.01,-110.02,".",".",".","23.7","23.74"
2849,90,1,14,900114,0,-110.02,".",".",".","23.48","23.81"
2850,90,1,15,900115,0,-110.02,"-3.9","2",".","23.81","23.94"
2851,90,1,16,900116,0,-110.02,"-5.9","3.4",".","24.03","24.56"
2852,90,1,17,900117,0,-110.02,"-5.9","3.1",".","24.07","24.45"
2853,90,1,18,900118,0,-110.02,"-3.5","3.4",".","24.11","24.34"
2854,90,1,19,900119,0,-110.02,"-2.5","4.7",".","24.3","24.37"
2855,90,1,20,900120,0,-110.02,"-3.1","3.4",".","24.24","24.42"
2856,90,1,21,900121,0,-110.02,"-4.8","3.2",".","24.3","24.33"
2857,90,1,22,900122,0,-110.02,"-4.4","3.8",".","24.35","24.26"
2858,90,1,23,900123,0,-110.02,"-4.3","3.5",".","24.31","24.25"
2859,90,1,24,900124,0,-110.02,"-4","2.3",".","24.26","24.33"
2860,90,1,25,900125,0,-110.02,"-4","3.3",".","24.35","24.33"
2861,90,1,26,900126,0,-110.02,"-3.7","4.6",".","24.28","24.22"
2862,90,1,27,900127,0,-110.02,"-3.5","4.1",".","24.47","24.35"
2863,90,1,28,900128,0,-110.02,"-3.8","4.4",".","24.48","24.4"
2864,90,1,29,900129,0,-110.02,"-2.6","3.4",".","24.38","24.45"
2865,90,1,30,900130,0,-110.02,"-3.5","2.4",".","24.51","24.6"
2866,90,1,31,900131,-0.01,-110.02,"-3.2","2.1",".","24.54","24.66"
2867,90,2,1,900201,0,-110.02,"-1.9","3.6",".","24.51","24.57"
2868,90,2,2,900202,0,-110.02,"-1.6","2.6",".","24.52","24.73"
2869,90,2,3,900203,0,-110.02,"-2.7","3.2",".","24.68","25"
2870,90,2,4,900204,0,-110.02,"-3.5","3.2",".","24.81","25.19"
2871,90,2,5,900205,0.01,-110.02,"-3.7","3.8",".","24.93","25.27"
2872,90,2,6,900206,0.01,-110.03,"-3.8","3.7",".","24.94","25.22"
2873,90,2,7,900207,0.01,-110.03,"-3.9","3.2",".","24.82","25.12"
2874,90,2,8,900208,0.01,-110.03,"-3.7","2.1",".","24.78","25.08"
2875,90,2,9,900209,0.01,-110.02,"-3.9","2",".","24.7","24.94"
2876,90,2,10,900210,0,-110.02,"-3.3","2.7",".","25.01","24.93"
2877,90,2,11,900211,0.01,-110.02,"-2.9","2.3",".","25.04","25.01"
2878,90,2,12,900212,0,-110.02,"-4.3","1.2",".","25.06","25.13"
2879,90,2,13,900213,0,-110.03,"-3.5","1.4",".","25.13","25.2"
2880,90,2,14,900214,0,-110.02,"-2.7","1.2",".","25.11","25.31"
2881,90,2,15,900215,0,-110.03,"-4","1.4",".","24.93","25.25"
2882,90,2,16,900216,0,-110.04,"-4.9","0.3",".","25.03","25.09"
2883,90,2,17,900217,0,-110.04,"-3","0.7",".","24.88","25.24"
2884,90,2,18,900218,0,-110.04,"-1.9","0.6",".","25.17","26.05"
2885,90,2,19,900219,0,-110.04,"-2.6","1.9",".","25.65","26.1"
2886,90,2,20,900220,-0.01,-110.04,"-2.2","1.9",".","25.72","26.23"
2887,90,2,21,900221,-0.01,-110.04,"-3.9","0.5",".","25.82","26.36"
2888,90,2,22,900222,0,-110.04,"-4.2","2.1",".","25.65","26.29"
2889,90,2,23,900223,0,-110.04,"-3.7","2.6",".","25.45","26.01"
2890,90,2,24,900224,0,-110.04,"-3","2.8",".","25.34","25.71"
2891,90,2,25,900225,0,-110.03,"-4.6","1.1",".","25.15","25.55"
2892,90,2,26,900226,0,-110.03,"-4.5","0.7",".","25.02","25.13"
2893,90,2,27,900227,0.01,-110.03,"-3","0.8",".","25.17","25.3"
2894,90,2,28,900228,0.01,-110.03,"-2.3","2.1",".","25.26","25.65"
2895,90,3,1,900301,0.01,-110.02,"-0.7","3.2",".","24.52","25.53"
2896,90,3,2,900302,0.01,-110.02,"-1.9","1.5",".","24.64","25.65"
2897,90,3,3,900303,0,-110.02,"-2.8","1.8",".","24.97","25.51"
2898,90,3,4,900304,0,-110.02,"-4.9","1.3",".","24.85","25.32"
2899,90,3,5,900305,0,-110.02,"-5.9","0.8",".","24.86","25.1"
2900,90,3,6,900306,0,-110.02,"-4.6","-0.4",".","24.93","25.09"
2901,90,3,7,900307,0,-110.02,"-3.5","0.4",".","25.02","25.32"
2902,90,3,8,900308,0,-110.02,"-4.1","2.1",".","25","25.23"
2903,90,3,9,900309,0,-110.02,"-4.2","-0.1",".","24.91","25.17"
2904,90,3,10,900310,0,-110.02,"-4.2","-0.7",".","25.07","25.22"
2905,90,3,11,900311,0,-110.02,"-3.8","-0.5",".","25.31","25.31"
2906,90,3,12,900312,0,-110.02,"-3.5","-0.1",".","25.45","25.48"
2907,90,3,13,900313,0,-110.02,"-4.2","0.6",".","25.46","25.65"
2908,90,3,14,900314,0,-110.02,"-3.5","1.8",".","25.63","25.98"
2909,90,3,15,900315,0,-110.02,"-1.8","2.6",".","25.72","26.02"
2910,90,3,16,900316,0,-110.02,"-2.8","0.8",".","25.11","25.6"
2911,90,3,17,900317,0,-110.02,"-1.5","0.8",".","25.65","25.82"
2912,90,3,18,900318,0,-110.02,"-1.5","1.7",".","25.63","25.78"
2913,90,3,19,900319,0,-110.02,"-2.6","1.2",".","25.58","25.79"
2914,90,3,20,900320,0,-110.02,"-2.8","0.3",".","25.8","25.9"
2915,90,3,21,900321,0,-110.02,"-2.6","1.4",".","25.9","26.18"
2916,90,3,22,900322,-0.01,-110.02,"-3.8","1.2",".","26.24","26.65"
2917,90,3,23,900323,-0.01,-110.02,"-3","2.2",".","26.19","26.75"
2918,90,3,24,900324,0,-110.02,"-2.5","1.8",".","26.3","26.77"
2919,90,3,25,900325,0,-110.02,"-3","0.9",".","26.03","26.79"
2920,90,3,26,900326,0,-110.02,"-3","-0.6",".","26.44","26.68"
2921,90,3,27,900327,0,-110.02,"-3.7","1.5",".","26.29","26.42"
2922,90,3,28,900328,0,-110.02,"-2.6","-0.6",".","26.33","26.63"
2923,90,3,29,900329,0,-110.02,"-1.3","-1.2",".","26.64","27.01"
2924,90,3,30,900330,0,-110.02,"-2.7","-0.4",".","26.63","26.97"
2925,90,3,31,900331,0,-110.02,"-1","2.4",".","26.69","27.19"
2926,90,4,1,900401,0,-110.02,"-3","1",".","26.27","27.14"
2927,90,4,2,900402,0,-110.02,"-4.1","0.4",".","26.43","26.74"
2928,90,4,3,900403,0,-110.02,"-2.1","0.9",".","26.35","26.83"
2929,90,4,4,900404,0,-110.02,"-2","2.7",".","26.49","26.82"
2930,90,4,5,900405,0,-110.02,"-2.7","2.8",".","26.5","26.74"
2931,90,4,6,900406,0,-110.02,"-3.3","-0.1",".","26.34","26.76"
2932,90,4,7,900407,0,-110.02,"-2.5","-0.6",".","26.45","26.97"
2933,90,4,8,900408,0,-110.02,"-3.3","1.3",".","26.67","27.04"
2934,90,4,9,900409,0.01,-110.02,"-4.6","1.5",".","26.64","26.88"
2935,90,4,10,900410,0.01,-110.02,"-3.5","2.1",".","26.67","26.85"
2936,90,4,11,900411,0.01,-110.02,"-2.3","3.2",".","25.89","26.97"
2937,90,4,12,900412,0.01,-110.02,"-0.6","-0.8",".","26.73","27.19"
2938,90,4,13,900413,0.01,-110.02,"-3.6","1.5",".","26.21","27.03"
2939,90,4,14,900414,0,-110.02,"-3.7","2.3",".","26.56","27.05"
2940,90,4,15,900415,0.01,-110.02,"-3","2.8",".","26.82","27.1"
2941,90,4,16,900416,0,-110.02,"-2.8","3.2",".","26.48","26.94"
2942,90,4,17,900417,0.01,-110.01,"-2.6","2.9",".","26.22","26.81"
2943,90,4,18,900418,0,-110.02,"-3.6","1.9",".","26.5","26.65"
2944,90,4,19,900419,0.01,-110.02,"-4.1","1.2",".","26.29","26.56"
2945,90,4,20,900420,0.01,-110.02,"-3.4","1.6",".","26.57","26.53"
2946,90,4,21,900421,0,-110.02,"-1.5","3.9",".","25.62","26.63"
2947,90,4,22,900422,0,-110.02,"-2.2","2.7",".","26.16","26.44"
2948,90,4,23,900423,0.01,-110.02,"-1.2","3.5",".","25.52","26.57"
2949,90,4,24,900424,0.01,-110.02,"-2.9","2.3",".","26.11","26.69"
2950,90,4,25,900425,0.01,-110.02,"-2.9","4",".","26.49","26.81"
2951,90,4,26,900426,0,-110.02,"-1.6","1.9",".","26.26","26.77"
2952,90,4,27,900427,0,-110.02,"-4","0.6",".","26.41","26.72"
2953,90,4,28,900428,0,-110.02,"-4.7","1.3",".","26.25","26.49"
2954,90,4,29,900429,0,-110.02,"-5.3","3",".","26.25","26.38"
2955,90,4,30,900430,0,-110.02,"-3.6","3.4",".","26.36","26.51"
2956,90,5,1,900501,0,-110.02,"-4.6","2.9",".","26.29","26.53"
2957,90,5,2,900502,0,-110.02,"-2.1","2.3",".","26.12","26.57"
2958,90,5,3,900503,0.01,-110.02,"-1.9","3.8",".","26.29","26.46"
2959,90,5,4,900504,0,-110.02,"-3.6","3.1",".","26.09","26.07"
2960,90,5,5,900505,0.01,-110.02,"-3.3","2.5",".","26.14","26.27"
2961,90,5,6,900506,0,-110.02,"-2.6","2.5",".","25.89","26.26"
2962,90,5,7,900507,0,-110.02,"-3.6","2.5",".","25.96","26.08"
2963,90,5,8,900508,0,-110.02,"-4.8","2.8",".","25.91","25.93"
2964,90,5,9,900509,0,-110.03,"-5","2.3",".","25.94","26.06"
2965,90,5,10,900510,0,-110.02,"-3.6","2.1",".","25.93","26.12"
2966,90,5,11,900511,0,-110.02,"-0.9","1.7",".","25.75","26.42"
2967,90,5,12,900512,0,-110.02,"-2.8","3.6",".","26.15","26.44"
2968,90,5,13,900513,0,-110.02,"-3.7","3.8",".","26.2","26.35"
